City,PointX,PointY
גני יוחנן,184689.8424,640598.3157
גינתון,191979.3488,652283.0239
בקוע,193011.064,637420.984099999
שיבולים,162693.9971,589541.003599999
יטבתה,205802.5761,422945.231799999
אלוני יצחק,200595.2219,712940.763699999
גבעת השלושה,192757.5546,667235.4724
עינת,194402.6419,665537.9947
גאולי תימן,190965.0013,699863.384
שלווה,177987.8062,608104.479699999
כפר עבודה,194659.4059,684953.814200001
בית חירות,188109.4312,698113.5241
עין שריד,194161.0407,686704.4932
רמת פנקס,185173.8553,660245.161599999
שדה בוקר,180176.4963,531258.2861
איתנים,209155.4018,631742.607100001
כפר הרי"ף,180385.2635,628623.860400001
כפר חסידים ב',208475.0945,739786.043
כפר הנוער הדתי,209591.9879,738690.7875
עבדון,217396.3796,772695.726
שבלי - אום אל-גנם,237664.1877,732430.7217
ישע,143039.9553,573167.359999999
שגב,223975.7452,752343.625499999
גבעת ישעיהו,195111.3839,619800.504699999
שער מנשה,201808.8061,706330.344000001
רכסים,209829.0615,739714.7511
ביאדה,215846.823,718130.4429
סואעד (חמרייה),216014.7262,741410.7245
בסמת טבעון,214111.849,738463.3862
זרזיר,221209.1244,736751.051000001
כעביה-טבאש-חג'אג'רה,218227.8054,739179.6818
חמאם,246182.4972,748380.367000001
מנשית זבדה,218361.6423,734555.8222
רומת הייב,228687.1679,742749.8453
ביר אל-מכסור,221185.2399,743199.3408
מבשרת ציון,214351.3104,634161.532299999
אור עקיבא,192733.2338,712852.6589
חרוצים,187449.0921,681582.221799999
שדרות,161833.935,603908.422
קריית מלאכי,176040.5163,626749.905200001
יעף,196866.434,686007.204500001
שתולה,229700.4202,776725.0897
אוהד,145870.187,571970.8606
חזון,237298.0292,756803.8815
רמת אפעל,184560.6303,661587.003
בית חשמונאי,192280.3342,644066.4703
תלמי אליהו,145607.0006,571009.6995
קטורה,205644.17,431208.132200001
תל שבע,186662.882,572992.2915
נווה זוהר,234706.3517,562358.189400001
שדה ניצן,144671.1458,571211.336200001
כסיפה,207606.6299,572578.662
לקיה,187125.805,581394.8462
נצרת עילית,230546.4225,735559.382999999
נווה אפרים,188239.8563,659169.166099999
מעלות-תרשיחא,226714.9734,769195.974400001
אמירים,242366.9153,760379.328500001
בני עי"ש,177384.7622,633021.2662
דוב"ב,238607.7661,773207.0524
אדמית,220908.5699,776728.4978
רם-און,224634.0425,714863.577500001
אביעזר,201548.1084,621011.669500001
נווה מיכאל,200615.7508,620084.772399999
גן הדרום,171773.0599,634707.9923
בית ברל,193259.8164,678680.683700001
צפרירים,194679.6924,618694.030999999
מבועים,167139.8642,595376.522299999
אבן מנחם,227793.2052,775477.6917
מעגלים,161844.3753,589587.1195
תושייה,156354.0397,593719.2223
בן שמן (כפר נוער),193301.4203,651891.627
כרם שלום,131804.5047,571062.851
כרם יבנה (ישיבה),173744.4758,636398.6186
דבורייה,235152.6579,732791.0649
דיר אל-אסד,225212.3137,760283.521500001
דייר חנא,234752.5233,752012.874399999
דייר ראפאת,195095.5816,631539.980599999
עיר כרמל,205241.3949,733215.2871
חורפיש,232560.5866,769061.775
טייבה (בעמק),242022.8742,723299.659600001
טורעאן,235447.0534,742524.0891
יפיע,226138.71,732192.452199999
ירכא,219244.0442,762158.1383
כאבול,219716.2985,753040.9715
כאוכב אבו אל-היג'א,223568.6756,748427.547800001
כפר כמא,241538.9848,736357.6193
כפר כנא,232322.5469,739208.944499999
כפר מנדא,224987.5142,745971.481000001
עילוט,224843.0972,735961.013900001
כפר מצר,239941.9693,727924.869100001
עין ראפה,210858.0643,633073.363
שגור,224164.2381,758417.6886
מזרעה,209563.647,765487.9937
מעיליא,224389.0548,770218.0536
משהד,230473.8104,738514.9879
נחף,230128.9439,759993.9377
ניין,233024.9153,726284.275
נאעורה,237123.2123,724072.351600001
סאג'ור,232569.8751,760706.5669
סולם,231682.441,723597.8325
שזור,233295.093,759733.8705
עוזייר,230715.1183,743950.68
אעבלין,217698.5064,747992.6929
עיילבון,238039.8166,748961.989499999
עראבה,232032.5197,750712.903899999
פסוטה,229333.2796,772551.3639
פקיעין (בוקייעה),230760.5077,764848.1303
פוריידיס,195837.9692,722655.0405
שעב,222286.1817,755123.863299999
רומאנה,229404.687,743702.640000001
ריחאנייה,245924.12,772650.163799999
ג'סר א-זרקא,191938.783,715875.886399999
ריינה,229221.4762,736335.1598
ראמה,234639.333,760382.112400001
עין אל-אסד,237689.1396,760616.330499999
גנות הדר,190800.2601,691836.688300001
ניר בנים,176848.3685,619991.830499999
שדמה,175657.7747,637815.8731
בוסתן הגליל,208071.1736,761722.983999999
בית אלעזרי,181482.7337,639141.1654
משמר דוד,190761.8107,636715.2684
רבדים,182704.6549,631108.215299999
אזור,181998.359,658918.599300001
גבעת שמש,195497.4144,631421.687799999
צרעה,197216.428,629926.145400001
מעונה,224829.7152,769128.7992
בית העמק,213907.4024,763978.141000001
מבקיעים,159667.3783,614507.0196
גשר הזיו,210645.2286,771777.3292
יסעור,215907.3475,756209.497400001
כברי,214065.3807,769480.389900001
יד בנימין,183245.4937,633953.7729
סאסא,240963.5536,774011.34
כפר ראש הנקרה,211087.6329,776761.777100001
כרם מהר"ל,199345.8995,728006.5681
כפר הנגיד,176368.9909,643877.0974
לביא,242709.7217,743620.0287
מגידו,217332.3085,720585.540999999
סביון,188623.476,661540.528000001
בני ראם,180283.4546,630885.987600001
בצת,212919.0741,775052.9878
נווה אור,252167.2453,721571.9516
עשרת,176175.7037,636961.0353
ערוגות,178489.7694,626925.8837
צפרייה,186526.6428,656726.961999999
לוחמי הגיטאות,209502.6603,763030.192299999
מלכייה,248068.4339,778113.679199999
פלמחים,172448.3405,648880.802300001
בית קמה,177326.3193,595002.7015
פרוד,240905.5827,759187.714299999
נירים,142528.9399,582818.3956
אלקוש,230598.0172,770916.0746
בית עריף,193946.8157,655882.464400001
כפר שמאי,243077.5877,762438.8473
מזור,193089.8386,662138.5537
מירון,241758.33,766194.9418
כפר חושן,241419.0632,768319.083699999
סתרייה,185456.7221,644258.6063
צרופה,195378.769,728295.024499999
ציפורי,226399.1552,739201.694399999
שומרה,226981.8744,776605.711100001
קדרון,180775.7513,635924.861
רינתיה,193352.4273,661275.4308
ברקאי,202991.4249,709024.580499999
חדיד,193837.108,652843.2711
ג'ש (גוש חלב),242097.3848,769743.609099999
כפר יאסיף,215510.9604,762047.638599999
עין נקובא,211617.6739,633520.054300001
עין מאהל,233351.0543,736399.480799999
טמרה (יזרעאל),238193.1228,726706.2608
בית גמליאל,177519.5805,640578.3027
זיקים,154671.2864,613097.5396
בני דרום,171001.0597,636524.1193
בית גוברין,190167.2719,613365.4715
משואות יצחק,170790.6718,623486.1207
עין צורים,173397.0605,622643.051000001
ג'לג'וליה,195929.7753,673056.554500001
גת,203784.0124,700593.3576
כפר ברא,197420.2697,670877.550000001
כפר קאסם,197895.7064,669039.7282
מוקייבלה,228102.2377,713339.2565
צנדלה,230547.1696,714304.4586
ערערה,208868.9911,711863.470899999
ברטעה,208978.7168,708808.482000001
זלפה,217684.286,717225.5615
מוצמוץ,214826.461,716675.043099999
מועאוויה,210032.1347,715268.300100001
סאלם,218912.669,716568.243000001
מושיירפה,214966.9907,717722.6809
מצר,204751.9157,705158.6053
מייסר,204234.9919,705622.2599
אבטין,210840.2334,740837.100400001
כפר קרע,204987.2961,712313.8939
שייח' דנון,214181.2779,766550.417099999
שער אפרים,200005.2925,688438.048800001
חוסן,228331.8121,766993.160499999
טירת יהודה,193844.1644,657817.387599999
כרם בן זמרה,244360.7374,771016.529999999
תקומה,160141.1022,595666.176899999
עומר,185311.6706,575265.2224
ברעם,237073.2187,769649.2928
מפלסים,158530.0141,601141.3781
משמר איילון,194885.1045,642129.2305
בית נקופה,212053.6495,634614.047700001
לימן,210742.1783,773953.1774
הבונים,194004.5291,727416.0219
עין השלושה,143051.768,584691.5197
הסוללים,222560.3945,739707.7356
מעגן,256610.4019,734707.0814
אביאל,199601.2081,715302.0557
אומץ,199744.6665,697348.064300001
גבעת שמואל,186286.7239,664934.062899999
אליקים,206598.2443,726421.678400001
גבע כרמל,196291.6376,729877.056
בניה,176648.8646,638983.2245
נווה ימין,194480.4416,675390.746300001
עין איילה,195351.3234,726147.6394
עלמה,247056.3142,773005.9913
מגדים,196438.7589,737184.2283
כפר אחים,177008.5558,628065.845100001
שפיר,174404.3368,622797.3278
נתיב הל"ה,198358.6352,621761.1754
מעגן מיכאל,192331.0143,718048.4179
מגן,145636.0448,578769.965600001
כפר חב"ד,185960.6209,655275.206499999
בארותיים,198799.6595,691994.148800001
בורגתה,196674.8772,692343.097899999
ניר ישראל,165570.8285,621804.025699999
חצב,178306.0119,632078.798800001
ארבל,245614.798,746460.4473
האון,258588.6284,736812.565199999
גבעת עוז,218890.43,717909.569800001
נחשונים,195283.5666,663129.4231
גיאה,162443.1393,615225.782299999
כפר דניאל,193697.1247,648892.454700001
עמקה,215540.091,764885.168400001
תפרח,169254.5715,581666.049000001
בית זית,215426.3387,632187.965600001
עזריה,191619.9176,644087.843800001
בן עמי,211910.0542,767867.6546
רעים,148686.0168,588428.354699999
ארז,158912.2013,607710.6558
להבות חביבה,201124.2522,700137.920600001
אייל,198187.8963,679740.883199999
חגור,195189.0253,671637.5485
ירחיב,197230.2079,673333.363500001
תל קציר,258202.8815,734603.6395
ניר גלים,169792.2556,636782.422900001
שדה אילן,240020.9134,739148.503
מגשימים,190577.5531,661547.282199999
בית הגדי,162631.2073,592691.164799999
הודייה,166088.4077,620480.6635
תלמי יחיאל,177547.7091,629121.4627
משמר השבעה,183539.959,657449.2212
אליפלט,251974.5185,761383.180600001
מישר,176809.9379,636277.1106
משמר הירדן,256409.3383,767824.5924
גן יאשיה,199697.8196,695099.711100001
רמות מאיר,186114.3743,642326.850400001
גילת,167013.022,581818.3958
עולש,198921.2526,693214.490700001
דור,193302.0542,723688.867799999
שדה עוזיהו,169437.3527,629548.3685
אשתאול,200917.9993,632111.263599999
שואבה,207480.7503,633939.152799999
מסילת ציון,201154.8884,634434.7388
כפר שמואל,193715.7108,644151.861199999
תלמי יפה,163750.69,613861.316500001
יראון,242819.2916,775822.055
קלנסווה,198236.2832,687903.887599999
עין א-סהלה,211223.9962,710717.0995
כפר טרומן,192935.7899,654189.0295
היוגב,219617.1421,724171.047800001
גמזו,194527.3743,648392.312999999
ברכיה,164577.9452,619837.814999999
בית שקמה,162926.4921,616326.4024
מסלול,160863.614,581458.725199999
פטיש,158063.4723,581862.160499999
פדויים,163054.3389,581841.0165
בית מאיר,203581.7059,633510.395
תעוז,197688.5351,634266.771400001
ינוב,195485.7153,690401.482000001
בית עזרא,167435.8132,627243.808499999
מצליח,188255.9811,645923.982100001
יד חנה,200825.4644,692450.3927
יציץ,186967.0963,641203.4846
בן זכאי,174451.8753,640480.188100001
שובה,156706.4634,595837.411699999
בטחה,164986.2495,582657.988
שתולים,170148.8636,631342.6175
כפר מרדכי,176934.8337,637703.3707
קוממיות,174483.7187,618970.757999999
פורת,195613.5615,687073.4694
כרמייה,156607.3687,612617.998
ניר עציון,199501.4606,734053.6118
מבוא ביתר,209887.2053,625592.7016
אמונים,169375.6371,627994.0195
עמיקם,202220.1555,718820.434
צוריאל,229515.145,768167.079600001
יד נתן,172060.4014,618186.853599999
מחסיה,200765.1194,628371.473999999
נחשון,195789.3463,637613.509299999
תרום,198356.8591,632312.2874
עמינדב,213532.1609,628771.602600001
אורה,214629.5058,629142.339299999
אבן ספיר,212705.9059,629974.6239
בית נחמיה,195898.3517,653633.1987
אחיהוד,217600.8722,756902.620999999
כפר זיתים,243507.105,746127.841499999
גבעת יערים,208819.8327,632664.429
זיתן,189753.9611,653664.637700001
רנן,162030.9235,583054.232999999
משען,164405.3498,618461.3586
נתיב השיירה,213063.2292,766533.742000001
גבעתי,169741.1244,626788.4319
עגור,191807.1285,622743.278899999
יערה,217683.0246,774707.7348
צלפון,193607.5133,634688.498600001
אחיעזר,188015.0726,654283.3452
יגל,188709.4192,655068.3423
זכריה,194845.4381,624159.2114
בית חנניה,193285.5697,715000.082900001
חמד,184921.5408,658520.886700001
גבעת כ"ח,194110.9748,659680.590700001
יושיביה,162876.2164,594712.517999999
אחיסמך,191375.7867,649122.737600001
ישעי,196816.9265,628771.0743
עין יהב,222776.9673,507799.7017
חניאל,195334.6765,693284.1018
ניר אליהו,195371.0858,678193.961300001
נחם,200374.9303,630412.510399999
עופר,198547.7061,725368.4253
יכיני,162022.1134,599145.3664
שלומי,214152.7635,775691.684800001
עין יעקב,221611.3544,768496.561100001
תלמים,168963.2379,608137.5529
זבדיאל,177328.5549,618587.813899999
עזריקם,171400.491,628851.3531
זרחיה,175990.3877,621094.0503
אביגדור,175766.5528,624230.558900001
חלץ,167574.2161,609667.288899999
אחוזם,178241.7765,606942.575200001
מטע,205894.1971,625028.577500001
בר גיורא,206863.9748,626338.3005
כוכב מיכאל,168635.3212,615355.232899999
נס הרים,205287.4644,628044.137
עוזה,177673.7591,611236.420299999
נווה מבטח,175520.8379,634841.6427
ישרש,185541.9543,646931.2697
מבטחים,143629.3474,572318.8848
ירוחם,193294.5292,544193.4059
נורית,233751.604,716400.9581
גנות,183938.6221,658360.661699999
עזריאל,197435.8792,685378.281300001
פדיה,188897.4322,640598.4899
פתחיה,189422.4019,641601.884500001
כיסופים,142951.1235,587239.8199
אלישמע,193368.0674,673231.090500001
געש,184004.0026,681865.5064
מרגליות,251250.9775,791475.589600001
נחל עוז,152292.1164,598029.1589
כפר עזה,155653.3818,599192.043400001
שפר,241036.4249,761049.8971
בית רבן,174474.3565,636117.8696
דבירה,183434.4311,591155.941400001
אחיטוב,199347.8665,699336.5415
ניצני עוז,200596.5498,690211.874399999
גונן,260683.65,780918.5978
גאליה,177991.941,643629.059800001
רחוב,246205.7313,706399.669600001
שעלבים,198560.2976,642068.113299999
גורן,222337.9988,773575.603399999
משגב דב,175432.2856,636496.407199999
כפר אביב,173692.2097,637678.740700001
נווה ירק,193034.5752,671321.422700001
כסלון,204772.5769,631240.439999999
שדה אליעזר,252977.6545,772298.5724
כפר מימון,156719.9613,592848.3806
מרכז שפירא,172413.2442,622832.2958
צוקי ים,186917.7034,696440.6469
גני הדר,186283.0894,642911.824899999
פורייה - כפר עבודה,251466.0942,735892.716499999
פורייה - נווה עובד,250681.3116,738794.594699999
אומן,223019.2055,718791.4351
חבר,225087.5633,717061.7892
יודפת,225819.5717,749129.7358
צור הדסה,209086.2715,624896.6127
שריגים (לי-און),193912.5459,620571.024599999
אביבים,244370.017,777000.8868
אוהלו,253945.1667,735828.8061
אדרת,199589.5604,618670.637599999
נאות הכיכר,236508.3594,538457.016899999
אלמגור,256666.1455,757386.129699999
מגדל העמק,223063.1612,731645.4279
מדרשת רופין,191944.1195,694253.466399999
טובא-זנגרייה,255509.432,763393.2063
גיזו,194273.9456,634717.221999999
עין חצבה,224000.1355,523168.638800001
זמרת,157500.6879,595318.006899999
גבעת שפירא,188681.3263,696211.336999999
מעלה גלבוע,239621.4717,709130.1779
מי עמי,213903.5565,712111.089299999
גרופית,206083.3875,427809.8487
כפר רוזנואלד (זרעית),227250.5395,778189.2601
שניר,263514.8169,793978.8138
ורדון,179360.6567,619165.472100001
יד השמונה,208718.0425,634988.570900001
צוחר,145065.0754,572027.030200001
קריית יערים,209498.9647,634504.9904
יעד,223171.7339,753648.799699999
כרמיאל,228178.6001,757647.721100001
מבוא מודיעים,198882.2128,649017.5264
נס עמים,211650.2511,763525.5986
אלומה,175780.2704,617801.725400001
עלומים,153766.5455,595736.3453
נטועה,230945.904,774395.0755
צור נתן,200441.871,682996.002699999
עזר,168888.4726,627263.211300001
צופר,217213.6329,496627.173800001
פארן,214550.5162,475124.2086
אשלים,171934.0128,542216.129899999
מלכישוע,239049.4249,704923.758300001
מגן שאול,229141.5415,714121.171399999
סמר,201903.9315,415937.0769
אחווה,178182.3646,627977.749
יהל,212232.5981,443860.0525
שכניה,223461.6369,750398.759199999
רהט,176800.2174,589074.042300001
מורן,237269.6733,758309.0118
שילת,201917.3526,647250.517100001
כפר רות,203013.3656,646325.8698
קיסריה,191520.6502,712527.239800001
לוטם,233771.1595,754097.5141
תובל,223358.2826,759439.7742
לפידות,225179.7679,762887.646500001
מנוף,222588.6912,750892.9912
ספיר,217900.1965,501948.5934
טללים,178163.7989,544721.2849
מורשת,222232.7815,748024.1856
קורנית,223925.7787,749923.5584
צביה,231300.0705,755007.1524
טל-אל,217058.675,759095.7039
אלון הגליל,220937.5151,740491.9234
 ,200993.5077,727046.4201
 ,200044.3976,626657.056700001
 ,210465.4361,735337.5779
 ,180621.4963,630017.4529
 ,229186.5755,717576.602700001
כליל,219001.5666,765039.5945
פלך,222078.4113,759798.592
הושעיה,227670.3258,740401.707900001
עיר אובות,223476.5915,524333.624700001
אשחר,228253.0448,754325.119899999
מצפה נטופה,236482.6955,745359.6664
בר יוחאי,241579.5065,766940.8554
ערערה-בנגב,202086.4558,562678.508199999
נאות סמדר,202364.3282,440090.795299999
כרמים,192166.4012,582403.2205
יזרעם,159383.0691,594753.1822
שחר,174055.2462,614374.1559
תירוש,189296.5782,628706.5462
ניר ח"ן,172979.1726,613100.609200001
חצבה,226695.9368,519702.682700001
נועם,179952.7855,608482.5485
בית ניר,188139.3348,617259.894300001
שדה משה,181900.1782,613140.157400001
אמציה,191832.3881,604621.8355
לכיש,184995.4976,608045.8115
ראש פינה,251124.8475,763833.998299999
שדות מיכה,192559.9596,625421.7183
מזכרת בתיה,185209.0031,639885.074999999
יסוד המעלה,256591.1708,773575.195800001
אופקים,163974.6731,580058.719900001
עוצם,172020.0748,616174.281300001
בת שלמה,200584.6818,722914.774900001
גדות,258268.892,769280.7806
שדה דוד,169992.6811,609377.122400001
איתן,176129.4122,608995.5122
גפן,188573.9616,627622.8073
אליכין,193151.594,701557.8923
מטולה,253978.1309,798400.992699999
זוהר,170872.6085,611622.024499999
יבנאל,247225.7572,735024.412900001
כפר תבור,239775.7369,732658.4737
מנחמיה,252358.0556,730294.203199999
אילנייה,238395.7952,740009.66
גבעת עדה,200737.354,713934.718
לוזית,189334.183,621634.365800001
עתלית,195102.9659,733568.2809
נוגה,171013.912,614707.211300001
כנרת (קבוצה),253281.1933,735474.497300001
מצפה,247996.7754,743989.7478
אילות,196090.4628,388091.1479
בכורה,245715.9276,705972.7917
ידידה,209955.9476,635464.2212
כישור,223676.971,761180.6107
בית רימון,231214.975,743117.4497
עידן,228478.0087,523679.0308
 ,206326.7663,735818.109999999
מתת,233804.9398,771715.1536
נחושה,195801.1524,615307.9978
דגניה א',254173.8914,734861.7158
כנרת (מושבה),253173.3122,736464.038899999
מגדל,247844.6594,749114.6358
מרחביה (קיבוץ),229194.7262,723523.6592
אור הנר,162235.9645,607292.327500001
ניר עוז,143067.779,580347.405400001
אשדוד,166709.5729,633639.8816
אשבול,168379.5619,595020.8167
גן שמואל,195683.5831,706124.9441
עין הוד,198658.9126,733961.5865
כפר גלעדי,254079.8765,794121.939400001
איילת השחר,254424.5008,769781.0285
דגניה ב',254251.3829,734008.3325
נהלל,218425.7995,732855.0118
עין חרוד (מאוחד),236924.7909,718153.8358
תל יוסף,237801.1603,717935.746099999
כפר יחזקאל,233952.2323,719167.731899999
גבע,235284.259,719141.886399999
כרם בן שמן,194172.366,651670.931600001
עין חרוד (איחוד),236930.3531,718982.320499999
גיניגר,224608.6585,729931.1129
בלפוריה,228106.8885,726187.295
בית אלפא,240867.0627,713694.903899999
יגור,207410.6351,738737.9552
מרחביה (מושב),230042.131,723401.937200001
כפר מל"ל,190213.64,674930.5612
מצפה רמון,180877.322,502898.061799999
תל עדשים,228664.0746,729308.4586
מזרע,227226.6525,728507.6667
כפר גדעון,227594.2101,727746.5337
אדירים,225862.5746,717224.439099999
חופית,188397.7964,699110.2421
רמת ישי,215823.4391,734325.3938
שריד,221327.1853,729656.0547
רמת רחל,220961.1329,627476.074899999
גת רימון,189106.0534,663988.025699999
משמר העמק,213847.185,723911.873600001
כפר ברוך,218123.252,728029.4893
גבת,220239.4916,731142.662
יפעת,221302.5731,731527.600299999
רמת דוד,219267.6683,731558.077500001
עין שמר,201112.6208,706983.3959
כפר יהושע,214619.0476,731874.0086
ברק,225135.3067,716514.823000001
שדה יעקב,213469.2968,733683.8784
בית זרע,254046.7561,732804.115
גן שלמה,181025.9225,642887.9036
גדיש,223294.2079,718286.5383
דבורה,224994.4559,717663.602600001
גבעת ברנר,181298.7027,641520.978499999
תל מונד,192193.7695,684352.8136
באר טוביה,173535.0832,626695.161599999
עיינות,178210.3254,647214.044299999
עין ורד,193744.1564,685664.395500001
נען,186412.0304,643445.283199999
בית חנן,178628.8192,649114.1656
חולדה,188984.1364,637585.6482
חירות,192296.0202,682946.3114
תימורים,177362.1274,624930.962300001
מלאה,222490.45,718838.7267
ניר יפה,223407.3004,719546.628
גן יבנה,172599.8852,633161.624
עין החורש,194572.406,699161.351500001
כפר יונה,193529.6504,691415.331700001
כפר יעבץ,196935.7062,686839.9493
פרדסייה,191724.4646,690272.572000001
גבעת חיים (מאוחד),193771.7002,699725.8391
נטעים,178640.2285,649927.053300001
אביחיל,188180.5471,695185.875299999
אפיקים,254500.8173,731829.978599999
כפר ביל"ו,183651.5605,642293.616900001
רמת יוחנן,211768.3628,744217.9168
כפר אז"ר,185119.0066,662936.0823
אבן יהודה,189239.4343,686099.739
ירקונה,190771.7663,672700.7248
רמת הכובש,194384.5797,680507.7532
נעורים,187195.6558,697636.8247
כפר הס,194372.2104,683934.9428
אשדות יעקב (מאוחד),254877.2893,730174.836999999
כפר פינס,200441.026,710057.386399999
כפר ויתקין,189255.9319,698784.706800001
הדר עם,190780.4774,695118.9098
כפר החורש,225919.5499,734111.580800001
כפר חיים,190755.1634,695756.487600001
משמר השרון,192664.1729,695737.320800001
צורן-קדימה,191817.2593,687347.563200001
גיבתון,181187.7807,644051.459100001
מעברות,191287.3335,696675.2421
צופית,192872.9403,677686.6921
אשדות יעקב (איחוד),254664.3698,729527.379799999
בית ינאי,187358.5238,698497.1478
בית עובד,178362.8574,647952.6865
אלישיב,191693.1252,698387.625800001
חגלה,193226.0221,699217.1667
רמות השבים,188615.5121,674385.8029
יד רמב"ם,190802.0886,645330.3419
קריית ענבים,211430.6348,635368.7541
חפצי-בה,240155.6708,713942.1088
מאיר שפיה,197454.5557,721900.0001
גבעת ח"ן,188109.056,674964.180400001
משמרות,198712.4928,710368.6132
כפר הרא"ה,191857.6433,699613.1654
גני עם,190906.0176,673176.3478
חיבת ציון,192229.0348,700399.314099999
כפר ביאליק,208441.8993,747335.1219
עין עירון,201370.8508,709877.0626
שושנת העמקים,186753.5313,695635.0064
גן השומרון,200343.0627,707680.543400001
גני תקווה,188291.1059,663158.4618
שפיים,183906.7427,680760.1249
ביצרון,174546.7671,633756.0593
 ,198236.4854,402374.734200001
