City,PointX,PointY
 ,197484.6849,736023.122500001
חבצלת השרון,187283.4867,696334.9737
שער העמקים,210881.9255,736467.7837
גן חיים,191306.6817,678006.1548
יקנעם עילית,209477.0934,728607.382300001
יקנעם (מושבה),211065.5688,729180.0766
בית השיטה,241446.9705,717322.0781
נתיבות,160873.8907,592338.6209
רשפון,183624.1126,678607.133400001
בית שערים,216935.1065,733475.2717
כפר סירקין,193067.3836,664842.461200001
הזורע,211590.6742,727648.036599999
ביתן אהרן,188041.8169,696789.451400001
חולתה,257342.6646,772997.7618
כפר המכבי,212213.8145,742736.446
כפר חיטים,247485.0024,745350.492900001
ניר דוד (תל עמל),243086.1214,712305.7784
נופך,192648.1969,661166.3934
שדה נחום,245509.4276,714603.5265
גינוסר,251888.4039,753030.682600001
מסדה,256414.2427,732123.821
שער הגולן,256908.3735,732593.323999999
בית יוסף,251978.5931,718392.0757
כפר שמריהו,183659.0209,676998.0385
טירת צבי,249945.3473,703121.719599999
מולדת,241735.3622,721307.863700001
עין השופט,209693.9178,722378.3177
מעוז חיים,252042.5728,711051.705600001
עין גב,260351.8196,742667.142899999
כפר מנחם,184369.496,626698.175100001
צור משה,192189.645,689345.9932
אושה,210993.7409,744585.280099999
חניתה,216614.9411,776954.5996
פקיעין חדשה,230524.5072,765396.649599999
שדה ורבורג,191058.1211,679295.407299999
אלונים,214090.119,735765.904300001
מעלה החמישה,210673.813,636098.0485
תל יצחק,188445.4597,683625.4333
בית יהושע,187377.3449,685223.4312
עין המפרץ,210000.5286,756837.947000001
מעיין צבי,193517.6226,720244.310799999
שרונה,244040.9765,736928.370300001
שדה יואב,169847.4484,616877.784700001
כפר רופין,252490.7453,707233.272299999
נווה איתן,250265.1875,710909.690099999
כפר מסריק,209683.9497,754643.9981
מסילות,244828.909,711269.4833
דלייה,207270.6754,721688.1272
בית עוזיאל,190925.8262,642074.3234
דן,261269.0609,793938.6131
שדה אליהו,248575.9442,705261.838099999
גשר,251994.9713,725113.058700001
שדמות דבורה,241125.8473,733596.183599999
הזורעים,247358.1536,739136.545399999
מחניים,253650.3149,766143.780999999
נהורה,172087.6958,614603.9767
נווה ים,193801.3584,731706.1252
אפק,212282.1548,749428.502699999
נגבה,169999.0861,618923.755899999
כפר נטר,188126.5518,686953.2291
בית אורן,200782.1824,737471.253
עמיעוז,144109.5823,573264.9669
עמיר,258324.7262,786982.411800001
כפר ורבורג,174059.0218,625298.959100001
שאר ישוב,260663.719,792386.8379
מצובה,215075.9352,774152.2225
בית יצחק-שער חפר,189930.5909,693388.629799999
שדות ים,190142.1975,710768.184699999
שדה נחמיה,258542.4617,788023.0074
אלומות,251425.3198,734798.2631
ניר צבי,187179.7599,651133.342700001
קבוצת יבנה,173566.1417,635891.212400001
רמת השופט,209016.4927,724062.923
דורות,166410.3802,601665.004799999
גת (קיבוץ),180661.7106,615117.9572
גברעם,163314.2512,611217.4723
חמדיה,249811.4684,713541.1327
מענית,202695.3122,707125.0052
כפר סאלד,261672.1876,788887.558800001
מוצא עילית,215008.1184,633467.7754
כפר ידידיה,190745.7322,694659.126499999
שבי ציון,208107.8919,765023.710200001
אילון,220736.0217,774247.958799999
דפנה,259897.5142,792801.1686
כפר גליקסון,200717.3216,712433.6303
בית הלל,256823.2912,790452.0876
רמת צבי,239063.7058,721841.333699999
מנרה,251178.7476,788916.378699999
ניר עם,160681.8501,603069.445900001
גבולות,149069.0988,569005.4596
בית זיד,211106.519,734128.6918
רביבים,173336.2307,550308.433700001
חורשים,197394.1893,671683.6238
הגושרים,258230.9243,791934.065300001
כפר בלום,257272.491,786386.3506
יד מרדכי,158100.9204,610847.3814
ניצנים,165533.4836,624899.382300001
גבעת ניל"י,204101.9523,717065.9114
חפץ חיים,180942.4043,633075.169199999
כפר אוריה,195080.9556,633459.7941
בית קשת,237478.235,735720.831599999
שמיר,261953.6745,785558.3575
בירייה,247056.749,764899.3039
גלעד (אבן יצחק),207467.7981,718065.6963
גזר,192182.5011,642579.8968
רמות נפתלי,251969.5742,778436.381999999
בית הלוי,193798.1615,695570.549699999
חוקוק,246811.5567,753728.119200001
מגל,203533.9584,699085.934900001
המעפיל,198648.8786,698244.9537
משגב עם,251572.7576,794638.2919
גאולים,194985.8564,689496.34
להבות הבשן,260647.4,782983.510399999
עין הנצי"ב,247465.2353,708459.087300001
עמיעד,250933.771,759181.2553
בני דרור,190816.5478,685310.630000001
כפר מונש,192292.3213,694932.9915
כפר קיש,242401.3627,730281.5503
בצרה,188825.5324,680033.918299999
קדמה,178838.7756,623293.5635
גלאון,185630.0714,615712.754000001
שובל,175265.408,591302.611300001
משמר הנגב,173266.9205,585889.951199999
חצרים,172048.537,572067.512399999
שרשרת,162320.8026,590425.5298
בארי,151665.5292,592697.804400001
אבן שמואל,177552.7416,609355.9366
ניר יצחק,138773.8044,572044.489499999
אורים,154656.9674,579405.5878
נווה אילן,207797.4203,635019.2161
חצור-אשדוד,173607.9014,631154.293
דברת,233068.8551,728002.4933
יחיעם,220947.3179,766807.331599999
צאלים,155640.8656,568205.2271
קלחים,169376.5862,595198.5228
שוקדה,154792.6703,592494.2119
מעיין ברוך,257017.8859,793826.7458
יקום,185302.6218,683870.9988
בני ציון,188010.3494,680787.434599999
סעד,155866.8462,597789.5057
חרב לאת,192166.7589,700861.274599999
העוגן,193043.7513,696534.850299999
גבים,161877.679,601820.0472
 ,177492.1064,650324.033199999
 ,208246.7835,726095.456700001
 ,209947.8205,766495.6062
 ,209582.1551,764614.125600001
משמרת,192715.1574,681643.491599999
כפר גלים,196418.6581,741342.224099999
ברור חיל,166363.7036,607414.5954
אלוני אבא,216411.9372,737263.7632
בית לחם הגלילית,218280.1651,737741.1938
דלתון,245868.9486,769113.747099999
שמרת,209274.2037,761745.7623
נחשולים,192822.2537,724390.8265
החותרים,196277.707,739712.1164
עין דור,235680.1297,727402.206900001
רשפים,245055.7401,709697.865700001
שלוחות,245472.6506,708674.979900001
יסודות,186366.936,635915.516799999
גדעונה,233957.0001,717212.0078
כפר הנשיא,256752.44,764448.569
רגבים,203320.8312,714408.0977
אודים,185900.8392,685866.2929
נורדייה,190524.2872,691048.6238
בני עטרות,191994.6624,659031.829600001
נחלים,191830.5316,662814.0659
בארות יצחק,191668.1869,660942.9431
יזרעאל,230463.985,718568.682700001
יפתח,251833.8612,781363.645
סער,210596.0457,770416.143200001
שורש,206334.6186,633756.6855
גזית,242225.6201,727053.687799999
רמת רזיאל,207021.3814,631257.752499999
טל שחר,190959.5569,634819.6538
געתון,219339.2943,767989.3413
הראל,195529.3349,635247.139799999
ניצן,164989.5337,627653.189099999
רוחמה,172007.6644,600643.577
כדורי,238475.6407,734248.815199999
מכמורת,188175.4079,701342.8158
נבטים,188786.1318,570257.421
נאות מרדכי,256099.7414,785021.1807
משאבי שדה,179498.0171,546059.5419
עין כרמל,196134.0938,731428.877800001
נצר סרני,183538.8086,647849.113700001
רמות מנשה,205531.0348,722513.464299999
בית דגן,184075.685,656358.2498
קריית עקרון,183237.9637,641042.5539
אבו גוש,210530.1836,634809.2202
אבו סנאן,216132.0488,762880.2027
דחי,232577.4569,725215.630899999
אכסאל,230743.6301,731953.213199999
בית ג'ן,235645.1146,763353.111500001
מגאר,238156.6403,754808.513800001
בועיינה-נוג'ידאת,234897.8748,745967.175100001
בענה,226038.8807,759327.0559
ג'ולס,217242.9518,760706.806299999
יבנה,175183.9205,643019.1204
אום אל-פחם,214411.9772,714217.5506
טירה,196078.8477,682214.1712
טייבה,201165.1737,685873.0065
קריית שמונה,254097.5715,790699.2403
כפר עציון,211015.8648,617452.092
נתיב הגדוד,242242.1669,655042.7457
אלמוג,243825.4136,632805.2366
קדומים,215341.3016,680455.293099999
תומר,241898.276,658213.004799999
אלקנה,203479.0982,668771.8521
מגדל עוז,213674.9618,616320.2477
כוכב השחר,233122.4696,651764.009099999
רימונים,232343.7547,649001.351299999
יפית,244814.0627,663251.6175
סלעית,204903.1039,683237.8092
ריחן,213195.5808,708299.9109
מבוא דותן,216732.0962,702914.4789
אריאל,218263.8392,667925.356899999
שבי שומרון,217668.7336,685529.5561
חלמיש,212003.0998,656982.187200001
בית אל,221365.5644,649801.097999999
בית חורון,212273.1031,642657.4223
מצפה יריחו,237407.3233,635897.034600001
שדמות מחולה,250551.6519,694733.494200001
אלון מורה,231575.7609,682122.270400001
ארגמן,249396.9276,675501.512599999
מחולה,248834.3418,697248.282500001
ראש צורים,211833.649,619443.557600001
הר גילה,216054.7299,625628.8727
אלון שבות,211886.9567,618127.166300001
משואה,246601.0359,668941.3303
גלגל,242429.0524,656312.778999999
ייט"ב,240110.6708,650636.009400001
מעלה אפרים,238396.7005,664090.2095
מצפה שלם,238209.8307,608321.038799999
קריית ארבע,211536.6055,605088.6296
בקעות,243082.9562,683232.938899999
גיתית,237562.9057,667819.5789
מכורה,240123.1794,674270.8906
פצאל,242045.8299,661304.7948
מעלה אדומים,229789.1052,632389.463300001
עפרה,224872.4771,651110.9692
אלעזר,213454.5209,618784.999
רועי,245780.9255,683881.534
נירן,243476.1829,652845.9049
מעלה שומרון,206819.1113,674748.5375
כפר אדומים,232307.6179,636483.2656
ורד יריחו,240965.391,637148.223200001
קרני שומרון,209201.0402,675406.627
שילה,228244.1705,662251.250700001
חמש,218449.8893,690689.0781
חיננית,215857.3221,709695.5943
גבעון החדשה,215208.7795,639369.648499999
בית הערבה,245652.8264,635062.2609
חמדת,249813.7874,684218.887700001
יקיר,210991.8301,672898.134299999
מתתיהו,203123.7823,648461.7653
שקד,216467.8711,708885.1108
אפרתה,214871.8192,618748.726399999
מעלה מכמש,229136.2781,642981.7842
בית אריה,205005.9705,660351.575099999
מעלה עמוס,221870.2181,611566.173599999
ברקן,210835.2764,668175.509199999
כרמל,217635.7788,593376.0691
מעון,215687.4221,591294.9186
עטרת,216812.0797,656357.3599
פסגות,221380.3753,645097.68
עמנואל,213331.4811,674260.3157
מבוא חורון,203664.3474,639444.8388
ברכה,225196.4136,677706.8005
שא-נור,219210.0751,693693.052200001
ענב,212194.693,688040.872300001
נעמי,244237.4788,646367.3146
עלמון,227932.5882,637345.225299999
חרמש,211395.1109,703298.8905
נחל אלישע,245416.2843,646415.952400001
תלם,203006.1465,608016.5375
שערי תקווה,202664.1997,669951.932800001
נחל דורן,199299.863,603328.3298
אשכולות,190972.9045,588834.725
פני חבר,215751.6926,599305.5558
צובה,211432.6822,632395.480699999
|בית ג,מאל|,197846.56,625684.3576
ירושלים,219940.9424,631894.625700001
תקוע,221805.2732,617788.384400001
כפר תפוח,223741.3892,669573.0066
קליה,244346.2476,628705.724099999
חמרה,241232.0103,678394.940199999
נגוהות,198415.1222,600167.6635
נווה דניאל,213628.1068,620660.370999999
עלי זהב,206370.7046,664233.962300001
נחל גנת,225962.9876,708955.512399999
כדים,230225.9109,706216.7961
גבעת זאב,215787.0179,640628.1719
טנא,195964.3863,587103.860099999
מצדות יהודה,210722.6436,585806.375399999
קריית נטפים,210757.3721,669283.366
דולב,212718.7708,648156.9943
יצהר,222338.3601,675105.8796
אלפי מנשה,201522.8771,675346.1976
מגדלים,232462.9338,666323.6691
מעלה לבונה,222849.4369,662393.780099999
אספר,218244.2689,610510.608200001
סוסיה,210880.6042,588881.8018
גנים,231939.2814,706192.4486
אדורה,201743.4603,606695.5178
איתמר,229185.5198,675638.823000001
גבע בנימין,226205.6499,639669.207800001
חגי,207647.6841,600097.115
עלי,225889.7542,664592.060799999
כרמי צור,209557.8597,612933.418400001
נחליאל,213384.7407,653433.412599999
פדואל,205059.3778,663181.178200001
הר אדר,212359.3783,637113.6076
חשמונאים,202373.7212,648713.5319
כוכב יעקב,223157.8838,643095.1942
ביתר עילית,210802.7044,622870.840399999
קדר,229462.7606,628958.6326
רותם,249072.0451,693665.1899
נח"ל גבעות,209669.8032,620761.087300001
שמעה,201204.3725,588431.724199999
משכיות,247528.7754,691539.0754
אבנת,241406.5553,620762.206499999
נעלה,206206.4522,652213.571
טלמון,213035.7096,649407.986
נופים,209813.9689,673480.733999999
צופים,201036.8365,678299.6139
עפרים,204370.4783,658391.505899999
אבני חפץ,206992.1331,688057.5688
בת עין,209574.9898,618481.473300001
רבבה,212273.6029,669482.6975
כפר האורנים,203723.2294,647346.0659
מודיעין עילית,203998.4918,648758.5897
חיפה,200365.145,745249.6602
בוקעאתא,273188.5607,789583.009099999
אלי-עד,268313.0668,745333.7223
אל -רום,272350.2927,787201.988500001
כפר חרוב,262472.8498,740848.1796
חספין,274612.5844,750210.3222
קשת,276066.7335,764892.442
יונתן,274574.2819,760335.444599999
מעלה גמלא,264234.016,754316.798
שעל,267460.9753,780075.096100001
אודם,270329.0868,788776.534299999
אבני איתן,271964.7968,747777.9504
אניעם,269587.5042,762643.4014
אורטל,271481.9442,776744.0033
נטור,270851.3393,751046.9548
בני יהודה,264528.5794,744479.615800001
אלוני הבשן,278873.2264,772260.319
מיצר,269243.3737,741398.005000001
גבעת יואב,264148.5146,744997.4255
גשור,266673.2546,746479.1833
נחל נמרוד,270432.7661,794565.749600001
קלע,265544.8192,783666.893999999
קדמת צבי,265689.3042,770409.750700001
חד-נס,260132.5677,759674.9636
כנף,266033.1668,752995.2061
קצרין,264900.9699,766302.904999999
מרום גולן,273170.5994,782013.891100001
מג'דל שמס,272034.594,796902.476500001
מסעדה,270844.4023,793046.859999999
מבוא חמה,261703.0834,738015.5809
אפיק,266261.1921,742695.510299999
נווה אטי"ב,269539.4885,796400.357799999
נוב,273650.9895,748781.005000001
עין קנייא,268566.4184,793561.057
עין זיוון,274589.8455,777960.9418
נאות גולן,265012.4613,743548.4178
רמת מגשימים,276110.3289,750360.352299999
רמות,262172.2501,750887.4879
תל אביב -יפו,179131.2107,665171.124600001
ניסנית,155553.5309,607910.463099999
אלי סיני,152927.1216,610341.4333
דוגית,151598.2492,609183.600199999
באקה-ג'ת,203823.4398,702459.387700001
בני ברק,184603.3379,666033.6382
בת ים,176427.7583,657967.217700001
גבעתיים,182252.7894,664181.3992
הרצלייה,184617.0221,675120.737600001
חדרה,192817.0116,705024.4597
חולון,179669.837,657577.2191
טבריה,249561.8553,743663.832699999
קריית אתא,209895.943,745468.9047
נוקדים,223669.1202,617247.5353
עתניאל,202893.3869,594147.342800001
אורנית,199435.2472,670764.1741
עץ אפרים,204543.2826,669577.3675
לוד,189528.4806,650930.7141
אשקלון,159336.4091,619533.425799999
נס ציונה,181420.9785,648563.726
נצרת,227763.8583,733970.7599
נתניה,186635.6029,691055.0174
סח'נין,228459.456,752277.5736
עכו,208705.1435,759179.808700001
עפולה,228936.266,724469.186899999
פרדס חנה-כרכור,196858.5787,708798.1809
פתח תקווה,189149.1583,666093.816199999
קריית מוצקין,207820.4416,749319.585100001
ראשון לציון,180059.2499,653305.7239
רחובות,182124.8818,644838.534399999
רמלה,187788.6562,648671.0385
רמת גן,183893.5833,663919.6808
רעננה,188265.9198,677187.879799999
שפרעם,216421.4606,745637.819599999
טמרה,218576.1634,751149.905099999
באר שבע,179639.5153,573974.497099999
נהרייה,209222.7146,768575.9583
בית שאן,246964.3138,711142.020300001
זכרון יעקב,195738.3534,719188.9794
יהוד,189773.8429,659773.2686
קריית ביאליק,208917.8599,748920.4834
קריית ים,207045.1885,750439.0922
הוד השרון,189419.3672,673471.490499999
בנימינה,195240.7567,714705.087099999
 ,216035.8757,488813.997099999
 ,201348.0666,454210.374700001
 ,192945.0189,614370.813899999
 ,196438.86,561046.924900001
 ,175067.7499,583706.318299999
 ,191830.1923,577055.0374
 ,197407.9101,573793.638900001
 ,188160.1187,696314.070800001
 ,165682.7795,627182.403000001
 ,171184.218,581629.101500001
 ,210858.7286,679039.6735
 ,206594.6666,701732.2294
 ,223772.8523,676376.2125
 ,206494.463,608554.2269
 ,212539.3343,685373.5744
 ,206289.1365,641859.8763
 ,221528.5221,623175.0132
 ,204474.5066,643917.715399999
 ,196441.7508,602130.293500001
 ,204757.1025,595332.7161
 ,215025.4925,614687.932
 ,231866.6852,676435.4231
 ,234255.949,708756.082900001
 ,226117.2783,671748.657400001
 ,227580.9666,672376.003900001
 ,222817.3373,648254.4486
 ,211346.1759,653462.414100001
 ,227622.6069,679261.0561
 ,211047.2429,693417.9103
 ,206887.7048,648444.679099999
 ,214844.8479,603090.1105
 ,245308.066,699203.519099999
 ,216663.3521,654900.428099999
 ,209506.6229,664487.6372
 ,224685.9902,706650.907
 ,228811.2249,693616.0359
 ,230575.1646,667571.655300001
 ,215397.6807,656023.901900001
 ,204607.6916,652249.8048
 ,152779.0402,605877.8686
 ,136716.7008,583707.031099999
 ,138903.325,590372.3124
 ,132157.6046,579981.393100001
 ,144386.671,598918.2947
 ,135385.4296,587958.117900001
 ,134653.5078,587349.316400001
 ,133544.8069,587226.530300001
 ,128707.0853,581563.2785
 ,131149.711,584930.75
 ,131088.1444,583896.9373
 ,129429.2033,583192.5414
 ,129173.5383,582380.8992
 ,127011.9553,580804.331499999
 ,127496.5455,581552.5562
עדי,216577.5307,743113.4089
מודיעין-מכבים-רעות,201427.4839,645095.493000001
כמון,233988.5138,757473.7772
מכמנים,231176.4617,756924.9615
הררית,234555.0428,750136.7469
גילון,222402.1958,756543.630100001
מנות,218743.4177,771490.1918
גיתה,223755.8821,763571.4903
לבון,227169.5332,760826.7411
הילה,223154.3261,771194.043099999
חרשים,231025.2964,762420.2147
כחל,248003.5334,755309.669399999
קדרים,244775.0079,755963.758099999
עמוקה,249393.0077,766998.1357
צבעון,239364.0342,770116.896500001
טפחות,240653.3947,752881.9441
גורנות הגליל,223674.6198,773860.192600001
כפר סבא,192412.6292,676031.641899999
צפת,247233.3444,763547.357000001
אבירים,227180.9847,771470.602499999
צורית,223909.729,756442.847899999
מצפה אבי"ב,219083.0026,749099.2939
שדי אברהם,136733.4172,569293.746200001
כוכב יאיר,199685.8419,680873.335100001
רביד,243740.0488,750660.107000001
יובלים,225637.8772,753700.2674
יתד,135819.4399,568707.793500001
כלנית,243227.6126,753316.350199999
לבנים,246415.3646,752152.537
פרי גן,138599.6777,570321.6766
יבול,135115.8495,566749.201199999
שורשים,224568.2678,755368.376499999
נירית,198749.2561,672584.955
תלמי יוסף,139082.0514,567913.1055
סופה,137312.2155,572055.816400001
חולית,135725.7349,571304.806399999
עין הבשור,147554.5107,576889.797700001
דקל,137803.359,567354.195900001
נתיב העשרה,156475.1046,608549.4122
סלמה,234220.7874,755474.095899999
עראמשה,221018.9469,778027.5211
קציר-חריש,206985.988,708616.5328
אליפז,200826.8642,411788.2443
הרדוף,216629.3938,740991.3027
כורזים,251894.7982,757207.617699999
אמנון,253965.0715,756630.4012
נטף,206517.7884,637705.744000001
אשרת,214872.2689,764074.3861
חנתון,223157.6009,743314.436100001
מסד,239968.8053,749880.146299999
נווה שלום,198033.0044,636128.1823
רתמים,170320.7887,551403.2523
הר עמשא,209681.086,583602.296700001
כפר ורדים,225466.6028,766771.3774
שומרייה,189199.575,593337.0107
שחרות,199743.9026,424020.7733
מיתר,194306.8407,581618.2619
להבים,182314.3343,586531.904999999
חלוץ,229493.7568,761708.4146
גן נר,231787.9744,715230.6493
אבטליון,233175.2124,749162.8199
נווה חריף,203250.0942,438801.9627
ניצני סיני,142325.7706,535111.476399999
תל תאומים,246872.4884,705364.376
נופית,213999.2806,740506.7454
כרכום,257194.7795,759525.1808
שגב-שלום,184635.0487,567409.710200001
גבעת אלה,223173.7638,736356.799699999
זמר,203638.8605,696682.8234
כמהין,145571.6592,535786.226299999
גבעת אבני,241360.1298,742271.849099999
אור הגנוז,242076.6288,767797.5276
יאנוח-ג'ת,223065.0398,765013.577199999
כסרא-סמיע,228756.6666,763858.1547
כפר חנניה,239947.035,757868.4661
חורה,193766.8383,578567.824899999
שוהם,194974.0339,656128.5426
צורן,194993.9077,688257.558900001
אלעד,196084.9639,661964.4267
לפיד,203182.9131,647171.8868
פורייה עילית,251525.0967,737441.7366
מתן,197621.2738,673927.7688
אל -עריאן,211986.7758,711512.932399999
בת חפר,201472.4294,693309.2336
עין חוד,200271.1724,733029.8923
ארסוף,182858.0904,680098.1074
אחוזת ברק,231953.5738,727683.5584
כמאנה,232845.2984,757166.442199999
חוסנייה,230325.7502,756198.3103
ראס אל-עין,235172.8209,757668.682800001
שמשית,223351.4612,737595.3466
אל -עזי,181495.9896,625435.5506
מגדל תפן,226114.5954,764708.8345
תנובות,196706.793,690362.6788
תלמי אלעזר,198104.3752,705744.155200001
שדה יצחק,199712.93,701072.2908
יובל,256116.4398,794425.775599999
כפר בן נון,195212.4922,640802.750399999
ינון,179432.2654,627826.1011
אורות,174994.6418,627858.659700001
גבעולים,161108.8864,589568.672499999
שדי חמד,194948.0313,674124.4088
רוויה,244586.184,706013.992699999
גבעת חיים (איחוד),193935.4536,700645.327299999
להב,187595.0161,587523.084000001
אום אל-קוטוף,205530.7465,708404.081
ירדנה,253215.4484,719059.4296
מדרך עוז,215139.2366,722291.6436
מנוחה,178913.7601,618356.031199999
רקפת,224918.8827,751311.635600001
שקף,193866.6581,602239.0122
תמרת,221421.4911,734348.8356
לוטן,208213.3386,433106.2028
כרמי יוסף,192583.1972,639498.107899999
מירב,239895.4916,706554.4712
ג'דיידה-מכר,213359.7862,759176.6197
נווה זיו,217390.1082,770221.195599999
נוף איילון,199127.9688,641879.269400001
בן שמן (מושב),192735.1668,651055.532099999
בית חלקיה,182268.7511,633343.4429
חצור הגלילית,251249.5207,765339.5
עדנים,191584.2566,671808.822000001
ברקת,195713.6844,657803.799699999
קריית יערים (מוסד),209854.6912,635142.8017
עין גדי,237144.9168,596206.2437
בחן,201980.2202,695164.286599999
מלילות,161570.1568,588732.699200001
נחלה,180611.5877,618566.0932
סגולה,179212.7322,619862.0407
ניר משה,165006.8821,598513.628900001
ניר עקיבא,166452.5689,597677.465299999
שדה צבי,172630.9847,595388.1646
תלמי ביל"ו,166368.0308,594143.501700001
רווחה,174875.5181,617544.1204
אביטל,229106.8478,718134.727
פרזון,229407.7838,716838.0384
מיטב,228474.4181,716857.832900001
מאור,200663.8771,703067.7731
שדי תרומות,245932.2435,705033.419299999
פעמי תש"ז,170862.9343,594369.226199999
ברוש,164983.0858,586666.932600001
תדהר,164531.5129,587525.7389
תאשור,166115.1355,586767.6534
דישון,248811.4735,776376.421599999
זרועה,164328.1583,596423.1072
טירת כרמל,197226.1643,741428.9135
דימונה,202562.0441,552908.1128
קריית טבעון,211981.2105,735487.756100001
אור יהודה,186522.678,659409.377900001
נשר,204387.792,741926.2926
באר יעקב,185060.4605,650161.852399999
גדרה,179220.0065,635459.007099999
ערד,220256.3067,573833.451300001
אילת,193808.261,385138.276699999
בית שמש,199203.4669,628089.6932
קריית אונו,186802.4399,662891.2008
קריית גת,178645.1995,612555.1406
ראש העין,196219.0173,667109.627800001
רמת השרון,185142.2704,671471.229699999
